Freq.	V(n001)/I(C1)
6.45654229034650e+004	(7.83505955884213e+000dB,-8.97442805383556e+001°)
6.60693448007590e+004	(7.63499625727160e+000dB,-8.97383221188875e+001°)
6.76082975391975e+004	(7.43492997196126e+000dB,-8.97322247706490e+001°)
6.91830970918930e+004	(7.23486056225041e+000dB,-8.97259852476034e+001°)
7.07945784384131e+004	(7.03478788084525e+000dB,-8.97196002273904e+001°)
7.24435960074983e+004	(6.83471177350583e+000dB,-8.97130663094974e+001°)
7.41310241300911e+004	(6.63463207871831e+000dB,-8.97063800133846e+001°)
7.58577575029177e+004	(6.43454862735167e+000dB,-8.96995377765616e+001°)
7.76247116628685e+004	(6.23446124229825e+000dB,-8.96925359526164e+001°)
7.94328234724274e+004	(6.03436973809717e+000dB,-8.96853708091928e+001°)
8.12830516164092e+004	(5.83427392054019e+000dB,-8.96780385259164e+001°)
8.31763771102663e+004	(5.63417358625864e+000dB,-8.96705351922668e+001°)
8.51138038202369e+004	(5.43406852229109e+000dB,-8.96628568053955e+001°)
8.70963589956073e+004	(5.23395850563038e+000dB,-8.96549992678857e+001°)
8.91250938133737e+004	(5.03384330274929e+000dB,-8.96469583854547e+001°)
9.12010839355901e+004	(4.83372266910386e+000dB,-8.96387298645954e+001°)
9.33254300796982e+004	(4.63359634861303e+000dB,-8.96303093101557e+001°)
9.54992586021427e+004	(4.43346407311378e+000dB,-8.96216922228536e+001°)
9.77237220955802e+004	(4.23332556179050e+000dB,-8.96128739967260e+001°)
9.99999999999991e+004	(4.03318052057720e+000dB,-8.96038499165091e+001°)
1.02329299228074e+005	(3.83302864153159e+000dB,-8.95946151549483e+001°)
1.04712854805089e+005	(3.63286960217937e+000dB,-8.95851647700345e+001°)
1.07151930523760e+005	(3.43270306482753e+000dB,-8.95754937021656e+001°)
1.09647819614317e+005	(3.23252867584511e+000dB,-8.95655967712297e+001°)
1.12201845430195e+005	(3.03234606490981e+000dB,-8.95554686736074e+001°)
1.14815362149687e+005	(2.83215484421896e+000dB,-8.95451039790908e+001°)
1.17489755493952e+005	(2.63195460766299e+000dB,-8.95344971277162e+001°)
1.20226443461740e+005	(2.43174492995974e+000dB,-8.95236424265066e+001°)
1.23026877081237e+005	(2.23152536574768e+000dB,-8.95125340461229e+001°)
1.25892541179416e+005	(2.03129544863609e+000dB,-8.95011660174172e+001°)
1.28824955169312e+005	(1.83105469021009e+000dB,-8.94895322278878e+001°)
1.31825673855639e+005	(1.63080257898848e+000dB,-8.94776264180302e+001°)
1.34896288259164e+005	(1.43053857933198e+000dB,-8.94654421775812e+001°)
1.38038426460287e+005	(1.23026213029966e+000dB,-8.94529729416512e+001°)
1.41253754462274e+005	(1.02997264445086e+000dB,-8.94402119867410e+001°)
1.44543977074591e+005	(8.29669506590239e-001dB,-8.94271524266387e+001°)
1.47910838816819e+005	(6.29352072452975e-001dB,-8.94137872081906e+001°)
1.51356124843619e+005	(4.29019667327443e-001dB,-8.94001091069432e+001°)
1.54881661891247e+005	(2.28671584612210e-001dB,-8.93861107226488e+001°)
1.58489319246110e+005	(2.83070843042561e-002dB,-8.93717844746308e+001°)
1.62181009735891e+005	(-1.72074608584881e-001dB,-8.93571225970014e+001°)
1.65958690743754e+005	(-3.72474305688585e-001dB,-8.93421171337267e+001°)
1.69824365246173e+005	(-5.72892857023839e-001dB,-8.93267599335317e+001°)
1.73780082874936e+005	(-7.73331152813019e-001dB,-8.93110426446383e+001°)
1.77827941003890e+005	(-9.73790125392743e-001dB,-8.92949567093299e+001°)
1.81970085860996e+005	(-1.17427075121405e+000dB,-8.92784933583330e+001°)
1.86208713666285e+005	(-1.37477405293836e+000dB,-8.92616436050092e+001°)
1.90546071796323e+005	(-1.57530110163380e+000dB,-8.92443982393483e+001°)
1.94984459975802e+005	(-1.77585301907690e+000dB,-8.92267478217524e+001°)
1.99526231496886e+005	(-1.97643098016465e+000dB,-8.92086826766026e+001°)
2.04173794466951e+005	(-2.17703621544249e+000dB,-8.91901928855966e+001°)
2.08929613085402e+005	(-2.37767001375365e+000dB,-8.91712682808469e+001°)
2.13796208950221e+005	(-2.57833372501618e+000dB,-8.91518984377272e+001°)
2.18776162394953e+005	(-2.77902876313344e+000dB,-8.91320726674551e+001°)
2.23872113856832e+005	(-2.97975660904509e+000dB,-8.91117800093978e+001°)
2.29086765276775e+005	(-3.18051881392523e+000dB,-8.90910092230854e+001°)
2.34422881531990e+005	(-3.38131700253491e+000dB,-8.90697487799186e+001°)
2.39883291901946e+005	(-3.58215287673701e+000dB,-8.90479868545539e+001°)
2.45470891568500e+005	(-3.78302821918101e+000dB,-8.90257113159486e+001°)
2.51188643150955e+005	(-3.98394489716663e+000dB,-8.90029097180484e+001°)
2.57039578276884e+005	(-4.18490486669484e+000dB,-8.89795692900983e+001°)
2.63026799189535e+005	(-4.38591017671588e+000dB,-8.89556769265548e+001°)
